Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,"Hi, Mom","$822,006,755",-,-,"$822,006,755",100%
2,Detective Chinatown 3,"$686,257,563",-,-,"$686,257,563",100%
3,Godzilla vs. Kong,"$406,666,076","$86,666,076",21.3%,"$320,000,000",78.7%
4,A Writer's Odyssey,"$149,506,203","$110,779",<0.1%,"$149,395,424",99.9%
5,Sister,"$128,209,026",-,-,"$128,209,026",100%
6,Raya and the Last Dragon,"$112,145,339","$40,075,439",35.7%,"$72,069,900",64.3%
7,Tom and Jerry,"$102,342,625","$43,542,625",42.5%,"$58,800,000",57.5%
8,Endgame,"$91,815,762","$23,149",<0.1%,"$91,792,613",100%
9,Boonie Bears: The Wild Life,"$77,725,611",-,-,"$77,725,611",100%
10,Evangelion: 3.0+1.0 Thrice Upon a Time,"$71,684,872",-,-,"$71,684,872",100%
11,Avatar 2021 Re-release,"$56,409,747",-,-,"$56,409,747",100%
12,Nezha Reborn,"$56,088,478",-,-,"$56,088,478",100%
13,Mortal Kombat,"$51,102,503","$23,302,503",45.6%,"$27,800,000",54.4%
14,Detective Conan: The Scarlet Bullet,"$47,145,899",-,-,"$47,145,899",100%
15,The Yinyang Master,"$37,690,000",-,-,"$37,690,000",100%
16,I Fell in Love Like A Flower Bouquet,"$33,782,298",-,-,"$33,782,298",100%
17,Big Red Envelope,"$32,800,000",-,-,"$32,800,000",100%
18,Nobody,"$31,916,641","$21,838,355",68.4%,"$10,078,286",31.6%
19,The Little Things,"$29,826,613","$15,226,613",51.1%,"$14,600,000",48.9%
20,Master,"$28,692,230",-,-,"$28,692,230",100%
21,The Last Warrior: Root of Evil,"$28,338,091",-,-,"$28,338,091",100%
22,The Marksman,"$22,325,876","$15,560,477",69.7%,"$6,765,399",30.3%
23,Chaos Walking,"$21,767,070","$13,167,070",60.5%,"$8,600,000",39.5%
24,Wish Dragon,"$21,120,000",-,-,"$21,120,000",100%
25,The Dry,"$17,004,783",-,-,"$17,004,783",100%
26,Gintama: The Final,"$16,971,401",-,-,"$16,971,401",100%
27,Bo Gia,"$16,934,732",-,-,"$16,934,732",100%
28,The Unholy,"$16,542,837","$11,842,837",71.6%,"$4,700,000",28.4%
29,Peter Rabbit 2: the Runaway,"$16,300,000",-,-,"$16,300,000",100%
30,Upon the Magic Roads,"$13,284,522",-,-,"$13,284,522",100%
31,Vakeel Saab,"$13,039,387",-,-,"$13,039,387",100%
32,Monkey King Reborn,"$13,000,000",-,-,"$13,000,000",100%
33,Minari,"$11,135,066","$2,345,468",21.1%,"$8,789,598",78.9%
34,Krack,"$10,442,916",-,-,"$10,442,916",100%
35,Meitantei Conan: Hiiro no fuzai shômei,"$10,308,627",-,-,"$10,308,627",100%
36,"Caution, Hazardous Wife: The Movie","$9,837,654",-,-,"$9,837,654",100%
37,Ji hun,"$9,600,000",-,-,"$9,600,000",100%
38,The Courier,"$9,502,478","$5,941,832",62.5%,"$3,560,646",37.5%
39,The Eleventh Chapter,"$8,844,058",-,-,"$8,844,058",100%
40,The Lord of the Rings: The Fellowship of the Ring 2021 Re-release,"$8,377,569",-,-,"$8,377,569",100%
41,August Never Ends,"$6,200,000",-,-,"$6,200,000",100%
42,Judas and the Black Messiah,"$6,121,063","$5,416,063",88.5%,"$705,000",11.5%
43,Penguin Bloom,"$6,025,538",-,-,"$6,025,538",100%
44,Brave: Gunjyo Senki,"$5,677,186",-,-,"$5,677,186",100%
45,Suicide Forest Village,"$5,584,171",-,-,"$5,584,171",100%
46,Nomadland,"$5,451,738","$2,143,000",39.3%,"$3,308,738",60.7%
47,Signal: The Movie,"$5,428,885",-,-,"$5,428,885",100%
48,Octonauts: The Ring of Fire,"$5,300,000",-,-,"$5,300,000",100%
