Rank,Release Group,Worldwide,Domestic,%,Foreign,%
69,Along With the Gods: The Last 49 Days,"$97,962,238","$1,200,246",1.2%,"$96,761,992",98.8%
70,A Simple Favor,"$97,644,617","$53,548,586",54.8%,"$44,096,031",45.2%
71,Boonie Bears 5,"$96,812,802",-,-,"$96,812,802",100%
72,The Favourite,"$95,918,706","$34,366,783",35.8%,"$61,551,923",64.2%
73,Truth or Dare,"$95,330,493","$41,411,015",43.4%,"$53,919,478",56.6%
74,Kill Mobile,"$94,870,905",-,-,"$94,870,905",100%
75,I Feel Pretty,"$94,539,426","$48,795,601",51.6%,"$45,743,825",48.4%
76,Blockers,"$94,017,294","$60,311,495",64.1%,"$33,705,799",35.9%
77,BlacKkKlansman,"$93,400,823","$49,275,340",52.8%,"$44,125,483",47.2%
78,Goosebumps 2: Haunted Halloween,"$93,320,380","$46,700,633",50%,"$46,619,747",50%
79,Shadow,"$91,708,374","$521,396",0.6%,"$91,186,978",99.4%
80,Overboard,"$91,244,913","$50,316,123",55.1%,"$40,928,790",44.9%
81,Sherlock Gnomes,"$90,497,778","$43,242,871",47.8%,"$47,254,907",52.2%
82,Detective Dee: The Four Heavenly Kings,"$90,040,771","$262,963",0.3%,"$89,777,808",99.7%
83,"Hello, Mrs. Money","$86,874,070",-,-,"$86,874,070",100%
84,Robin Hood,"$86,489,031","$30,824,628",35.6%,"$55,664,403",64.4%
85,I Can Only Imagine,"$86,086,881","$83,482,352",97%,"$2,604,529",3%
86,Hidden Man,"$85,170,581",-,-,"$85,170,581",100%
87,Mortal Engines,"$83,672,673","$15,951,040",19.1%,"$67,721,633",80.9%
88,Partment: The Movie,"$81,096,321",-,-,"$81,096,321",100%
89,Doraemon the Movie: Nobita's Treasure Island,"$80,920,916",-,-,"$80,920,916",100%
90,Den of Thieves,"$80,509,622","$44,947,622",55.8%,"$35,562,000",44.2%
91,Hereditary,"$80,200,936","$44,069,456",54.9%,"$36,131,480",45.1%
92,Code Blue the Movie,"$78,778,562",-,-,"$78,778,562",100%
93,Tag,"$78,130,625","$54,730,625",70.1%,"$23,400,000",29.9%
94,Sanju,"$76,693,052","$7,909,317",10.3%,"$68,783,735",89.7%
95,Vice,"$76,073,488","$47,836,282",62.9%,"$28,237,206",37.1%
96,Widows,"$75,984,700","$42,402,632",55.8%,"$33,582,068",44.2%
97,Sicario: Day of the Soldado,"$75,837,743","$50,072,235",66%,"$25,765,508",34%
98,Searching,"$75,462,037","$26,020,957",34.5%,"$49,441,080",65.5%
99,The Spy Who Dumped Me,"$75,320,680","$33,562,069",44.6%,"$41,758,611",55.4%
100,Animal World,"$74,922,830",-,-,"$74,922,830",100%
101,Amazing China,"$72,506,343",-,-,"$72,506,343",100%
102,Second Act,"$72,282,227","$39,282,227",54.3%,"$33,000,000",45.7%
103,Spirited Away 2018 Re-release,"$70,186,029","$1,175,067",1.7%,"$69,010,962",98.3%
104,Shoplifters,"$67,999,335","$3,313,513",4.9%,"$64,685,822",95.1%
105,12 Strong,"$67,450,815","$45,819,713",67.9%,"$21,631,102",32.1%
106,"Love, Simon","$66,316,289","$40,826,341",61.6%,"$25,489,948",38.4%
107,Mile 22,"$66,308,758","$36,108,758",54.5%,"$30,200,000",45.5%
108,Life of the Party,"$65,859,911","$53,059,911",80.6%,"$12,800,000",19.4%
109,L Storm,"$64,517,456",-,-,"$64,517,456",100%
110,Capernaum,"$64,417,003","$1,661,096",2.6%,"$62,755,907",97.4%
111,Isle of Dogs,"$64,241,499","$32,015,231",49.8%,"$32,226,268",50.2%
112,Andhadhun,"$62,475,342","$1,193,046",1.9%,"$61,282,296",98.1%
113,Adrift,"$59,945,012","$31,445,012",52.5%,"$28,500,000",47.5%
114,The 15:17 to Paris,"$57,076,286","$36,276,286",63.6%,"$20,800,000",36.4%
115,A or B,"$56,239,049",-,-,"$56,239,049",100%
116,Go Brother!,"$54,663,060",-,-,"$54,663,060",100%
117,Early Man,"$54,622,814","$8,267,544",15.1%,"$46,355,270",84.9%
118,Peppermint,"$53,918,723","$35,418,723",65.7%,"$18,500,000",34.3%
119,Teen Titans GO! To the Movies,"$52,090,236","$29,790,236",57.2%,"$22,300,000",42.8%
120,Slender Man,"$51,738,549","$30,569,484",59.1%,"$21,169,065",40.9%
121,Breaking In,"$51,411,620","$46,840,590",91.1%,"$4,571,030",8.9%
122,Cry Me a Sad River,"$51,400,614",-,-,"$51,400,614",100%
123,Simmba,"$51,329,025","$5,102,129",9.9%,"$46,226,896",90.1%
124,Once Upon a Deadpool 2018 Re-release,"$51,247,568","$6,100,309",11.9%,"$45,147,259",88.1%
125,Family is Family,"$49,954,866",-,-,"$49,954,866",100%
126,Death Wish,"$49,562,710","$34,017,028",68.6%,"$15,545,682",31.4%
127,The Magic Tuche,"$47,427,990",-,-,"$47,427,990",100%
128,Golden Job,"$47,287,851","$285,795",0.6%,"$47,002,056",99.4%
129,Mary Queen of Scots,"$46,712,809","$16,468,499",35.3%,"$30,244,310",64.7%
130,Uncle Drew,"$46,664,414","$42,469,946",91%,"$4,194,468",9%
131,Acrimony,"$46,403,669","$43,549,096",93.8%,"$2,854,573",6.2%
132,Asterix: The Secret of the Magic Potion,"$46,221,204","$1,271,953",2.8%,"$44,949,251",97.2%
133,Bajrangi Bhaijaan 2018 Re-release,"$45,579,004",-,-,"$45,579,004",100%
134,Winchester,"$44,019,588","$25,091,816",57%,"$18,927,772",43%
135,Annihilation,"$43,070,915","$32,732,301",76%,"$10,338,614",24%
136,The Possession of Hannah Grace,"$43,016,528","$14,837,422",34.5%,"$28,179,106",65.5%
137,Long Day's Journey Into Night,"$42,140,994","$521,365",1.2%,"$41,619,629",98.8%
138,Overlord,"$41,657,844","$21,704,844",52.1%,"$19,953,000",47.9%
139,The Great Battle,"$41,509,280","$472,166",1.1%,"$41,037,114",98.9%
140,The Darkest Minds,"$41,142,379","$12,695,691",30.9%,"$28,446,688",69.1%
141,"Lost, Found","$41,043,552",-,-,"$41,043,552",100%
142,Holmes & Watson,"$40,466,970","$30,573,626",75.6%,"$9,893,344",24.4%
143,Intimate Strangers,"$39,576,060",-,-,"$39,576,060",100%
144,Thugs of Hindostan,"$39,570,044","$1,449,848",3.7%,"$38,120,196",96.3%
145,Sink or Swim,"$39,193,850",-,-,"$39,193,850",100%
146,Show Dogs,"$39,156,854","$17,857,020",45.6%,"$21,299,834",54.4%
147,Believer,"$39,047,153","$365,639",0.9%,"$38,681,514",99.1%
148,The Spy Gone North,"$38,844,509","$500,803",1.3%,"$38,343,706",98.7%
149,On the Basis of Sex,"$38,673,750","$24,622,687",63.7%,"$14,051,063",36.3%
150,Taxi 5,"$38,598,227",-,-,"$38,598,227",100%
151,Fat Buddies,"$37,496,410",-,-,"$37,496,410",100%
152,Till The End Of The World,"$37,013,733","$118,660",0.3%,"$36,895,073",99.7%
153,2.0,"$36,945,969","$4,152,000",11.2%,"$32,793,969",88.8%
154,Nothing to Lose,"$36,075,317","$1,016,188",2.8%,"$35,059,129",97.2%
155,T-34,"$35,950,901",-,-,"$35,950,901",100%
156,Mia and the White Lion,"$35,487,190","$399,471",1.1%,"$35,087,719",98.9%
157,The Girl in the Spider's Web,"$35,164,920","$14,841,338",42.2%,"$20,323,582",57.8%
158,The Hate U Give,"$34,934,009","$29,719,483",85.1%,"$5,214,526",14.9%
159,Nobody's Fool,"$33,705,333","$31,713,110",94.1%,"$1,992,223",5.9%
160,Baaghi 2,"$33,139,063","$1,319,579",4%,"$31,819,484",96%
161,The Hurricane Heist,"$32,517,248","$6,115,825",18.8%,"$26,401,423",81.2%
162,All About Me,"$31,920,159",-,-,"$31,920,159",100%
163,Bad Times at the El Royale,"$31,882,724","$17,839,115",56%,"$14,043,609",44%
164,Hunter Killer,"$31,672,678","$15,767,460",49.8%,"$15,905,218",50.2%
165,Super Troopers 2,"$31,626,386","$30,617,396",96.8%,"$1,008,990",3.2%
166,The Strangers: Prey at Night,"$31,039,126","$24,586,708",79.2%,"$6,452,418",20.8%
167,Gintama 2: Rules are Made to be Broken,"$30,896,653",-,-,"$30,896,653",100%
168,The Way of the Bug,"$30,355,804",-,-,"$30,355,804",100%
169,Clergy,"$30,114,115",-,-,"$30,114,115",100%
170,Ice,"$29,806,210",-,-,"$29,806,210",100%
171,Free Solo,"$29,318,861","$17,541,090",59.8%,"$11,777,771",40.2%
172,Dark Figure of Crime,"$29,176,133",-,-,"$29,176,133",100%
173,Pad Man,"$29,045,020","$1,670,192",5.8%,"$27,374,828",94.2%
174,Mirai,"$28,756,961","$812,794",2.8%,"$27,944,167",97.2%
175,Default,"$27,694,043","$203,775",0.7%,"$27,490,268",99.3%
176,One Cut of the Dead,"$27,590,180","$52,406",0.2%,"$27,537,774",99.8%
177,The Happytime Murders,"$27,506,452","$20,706,452",75.3%,"$6,800,000",24.7%
178,Midnight Sun,"$27,365,467","$9,561,064",34.9%,"$17,804,403",65.1%
179,VIP Policeman,"$27,222,681",-,-,"$27,222,681",100%
180,My Neighbor Totoro 2018 Re-release,"$27,083,857","$1,144,649",4.2%,"$25,939,208",95.8%
181,The Faces of My Gene,"$26,796,279",-,-,"$26,796,279",100%
182,Badhaai Ho,"$26,125,610",-,-,"$26,125,610",100%
183,Hichki,"$26,055,222","$330,279",1.3%,"$25,724,943",98.7%
184,White Boy Rick,"$25,957,482","$24,011,188",92.5%,"$1,946,294",7.5%
185,"Paul, Apostle of Christ","$25,915,966","$17,560,475",67.8%,"$8,355,491",32.2%
186,Champions,"$25,674,036",-,-,"$25,674,036",100%
187,Keys To The Heart,"$25,375,866","$75,134",0.3%,"$25,300,732",99.7%
188,Stan & Ollie,"$24,420,923","$5,470,235",22.4%,"$18,950,688",77.6%
189,The Witch: Part 1 - The Subversion,"$24,340,302",-,-,"$24,340,302",100%
190,The Accidental Detective 2: In Action,"$24,243,825","$179,045",0.7%,"$24,064,780",99.3%
191,Killing for the Prosecution,"$23,929,620",-,-,"$23,929,620",100%
192,Pokémon the Movie: The Power of Us,"$23,740,788","$789,170",3.3%,"$22,951,618",96.7%
193,The Guernsey Literary and Potato Peel Pie Society,"$23,148,937",-,-,"$23,148,937",100%
194,The Crimes That Bind,"$23,144,130",-,-,"$23,144,130",100%
195,New Happy Dad and Son 3: Adventure in Russia,"$23,130,469",-,-,"$23,130,469",100%
196,Padmaavat,"$22,991,060","$11,846,060",51.5%,"$11,145,000",48.5%
197,Won't You Be My Neighbor?,"$22,844,741","$22,835,787",100%,"$8,954",<0.1%
198,Europe Raiders,"$22,435,156",-,-,"$22,435,156",100%
199,Mojin: The Worm Valley,"$22,381,583","$101,516",0.5%,"$22,280,067",99.5%
200,Stree,"$22,075,730",-,-,"$22,075,730",100%
201,Big Brother,"$22,029,250","$85,624",0.4%,"$21,943,626",99.6%
202,Master Z: The Ip Man Legacy,"$21,832,649","$209,454",1%,"$21,623,195",99%
203,Proud Mary,"$21,753,365","$20,877,013",96%,"$876,352",4%
204,The Prodigy,"$21,150,265","$14,856,291",70.2%,"$6,293,974",29.8%
205,Minha Vida em Marte,"$21,105,636",-,-,"$21,105,636",100%
206,Gonjiam: Haunted Asylum,"$21,041,950","$115,252",0.5%,"$20,926,698",99.5%
207,My Hero Academia: Two Heroes,"$21,022,724","$5,754,556",27.4%,"$15,268,168",72.6%
208,On Your Wedding Day,"$20,895,905",-,-,"$20,895,905",100%
209,SuperFly,"$20,780,685","$20,545,116",98.9%,"$235,569",1.1%
210,If Beale Street Could Talk,"$20,596,567","$14,915,773",72.4%,"$5,680,794",27.6%
211,They Shall Not Grow Old,"$20,433,798","$17,956,913",87.9%,"$2,476,885",12.1%
212,Burn the Stage: The Movie,"$20,347,513","$4,201,819",20.7%,"$16,145,694",79.3%
213,Cold War 2018 Re-release,"$20,296,042","$4,580,048",22.6%,"$15,715,994",77.4%
214,The Wife,"$19,978,189","$9,601,092",48.1%,"$10,377,097",51.9%
215,Be With You,"$19,711,640",-,-,"$19,711,640",100%
216,Duck Duck Goose,"$19,676,514",-,-,"$19,676,514",100%
217,The Witness,"$19,424,375",-,-,"$19,424,375",100%
218,Rolling to You,"$19,405,540",-,-,"$19,405,540",100%
219,Everybody Knows,"$19,176,163","$2,660,165",13.9%,"$16,515,998",86.1%
220,Oolong Courtyard: KungFu School,"$19,129,015","$37,727",0.2%,"$19,091,288",99.8%
221,Aladdin 2,"$19,024,452",-,-,"$19,024,452",100%
222,Detective K: Secret of the Living Dead,"$18,603,476","$104,013",0.6%,"$18,499,463",99.4%
223,Airpocalypse,"$18,491,089","$105,678",0.6%,"$18,385,411",99.4%
224,Zero,"$18,412,196","$1,035,388",5.6%,"$17,376,808",94.4%
225,Chappaquiddick,"$18,263,470","$17,395,520",95.2%,"$867,950",4.8%
226,Sorry to Bother You,"$18,170,707","$17,493,096",96.3%,"$677,611",3.7%
227,Hell Fest,"$18,159,691","$11,107,431",61.2%,"$7,052,260",38.8%
228,"Belle and Sebastian, Friends for Life 2018 Re-release","$18,033,184",-,-,"$18,033,184",100%
229,The Old Man & the Gun,"$17,860,397","$11,277,120",63.1%,"$6,583,277",36.9%
230,The Children Act,"$17,696,794","$547,750",3.1%,"$17,149,044",96.9%
231,Operation Finale,"$17,612,099","$17,612,099",100%,-,-
232,Escape Plan 2: Hades,"$17,592,626",-,-,"$17,592,626",100%
233,Loving Pablo,"$17,535,962","$22,017",0.1%,"$17,513,945",99.9%
234,Natsume's Book of Friends The Movie: Tied to the Temporal World,"$17,473,797",-,-,"$17,473,797",100%
235,Mirage,"$17,325,485",-,-,"$17,325,485",100%
236,21 Karat,"$17,241,379",-,-,"$17,241,379",100%
237,Crayon Shin-chan: Burst Serving! Kung Fu Boys - Ramen Rebellion,"$17,170,925",-,-,"$17,170,925",100%
238,Stolen Identity,"$16,831,582",-,-,"$16,831,582",100%
239,102 Not Out,"$16,758,596","$1,343,797",8%,"$15,414,799",92%
240,Beautiful Boy,"$16,636,604","$7,649,973",46%,"$8,986,631",54%
241,Upgrade,"$16,593,554","$11,977,130",72.2%,"$4,616,424",27.8%
242,The Wind Guardians,"$16,558,135",-,-,"$16,558,135",100%
243,Forever My Girl,"$16,376,066","$16,376,066",100%,-,-
244,Unfriended: Dark Web,"$16,024,987","$8,866,745",55.3%,"$7,158,242",44.7%
245,Finding Your Feet,"$15,775,555","$1,418,682",9%,"$14,356,873",91%
246,Feng Shui,"$15,702,302","$64,147",0.4%,"$15,638,155",99.6%
247,Tully,"$15,636,462","$9,369,755",59.9%,"$6,266,707",40.1%
248,Cats,"$15,320,645",-,-,"$15,320,645",100%
249,The Little Witch,"$15,295,482",-,-,"$15,295,482",100%
250,Yugo & Lala 4,"$15,286,513",-,-,"$15,286,513",100%
251,The Negotiation,"$15,229,193","$110,986",0.7%,"$15,118,207",99.3%
252,Recall,"$15,101,476",-,-,"$15,101,476",100%
253,Happiness Around the Corner,"$14,798,770",-,-,"$14,798,770",100%
254,Sui Dhaaga,"$14,751,915","$790,628",5.4%,"$13,961,287",94.6%
255,Blood-Soaked Guangchang,"$14,651,659",-,-,"$14,651,659",100%
256,The Drug King,"$14,446,477",-,-,"$14,446,477",100%
257,RBG,"$14,441,292","$14,017,361",97.1%,"$423,931",2.9%
258,Eighth Grade,"$14,347,433","$13,539,709",94.4%,"$807,724",5.6%
259,Super Lopez,"$14,347,006",-,-,"$14,347,006",100%
260,Unsane,"$14,293,601","$7,732,899",54.1%,"$6,560,702",45.9%
261,Colette,"$14,273,033","$5,137,622",36%,"$9,135,411",64%
262,Ya veremos,"$14,134,723","$4,165,949",29.5%,"$9,968,774",70.5%
263,100 Things,"$14,093,397",-,-,"$14,093,397",100%
264,Kedarnath,"$13,999,297","$901,131",6.4%,"$13,098,166",93.6%
265,The Quake,"$13,837,294","$6,235",<0.1%,"$13,831,059",100%
266,Muslum,"$13,700,403",-,-,"$13,700,403",100%
267,Chihayafuru Part III,"$13,649,091",-,-,"$13,649,091",100%
268,ARIF V 216,"$13,547,689",-,-,"$13,547,689",100%
269,Three Identical Strangers,"$13,448,497","$12,320,845",91.6%,"$1,127,652",8.4%
270,Hotel Artemis,"$13,313,581","$6,708,147",50.4%,"$6,605,434",49.6%
271,Nothing to Hide,"$13,189,388",-,-,"$13,189,388",100%
272,The Sisters Brothers,"$13,143,056","$3,143,056",23.9%,"$10,000,000",76.1%
273,Mafia Women,"$13,121,008",-,-,"$13,121,008",100%
274,Welcome to Marwen,"$13,061,491","$10,763,520",82.4%,"$2,297,971",17.6%
275,Take Point,"$12,908,032","$112,386",0.9%,"$12,795,646",99.1%
276,Trener,"$12,760,988",-,-,"$12,760,988",100%
277,Jim Button and Luke the Engine Driver,"$12,699,718",-,-,"$12,699,718",100%
278,Luis and the Aliens,"$12,627,729","$169,710",1.3%,"$12,458,019",98.7%
279,Kamen Rider Heisei Generations Forever,"$12,587,899",-,-,"$12,587,899",100%
280,Can You Ever Forgive Me?,"$12,442,161","$8,803,865",70.8%,"$3,638,296",29.2%
281,Rampant,"$12,359,573","$167,937",1.4%,"$12,191,636",98.6%
282,Little Women,"$12,165,890","$1,379,497",11.3%,"$10,786,393",88.7%
283,Crystal Skies of Yesterday,"$12,104,346",-,-,"$12,104,346",100%
284,Balloon,"$11,859,396","$34,222",0.3%,"$11,825,174",99.7%
285,Boy Erased,"$11,853,081","$6,788,692",57.3%,"$5,064,389",42.7%
286,Unstoppable,"$11,845,347","$101,417",0.9%,"$11,743,930",99.1%
287,Last Letter,"$11,834,622","$180,946",1.5%,"$11,653,676",98.5%
288,Cinderella and the Secret Prince,"$11,833,683",-,-,"$11,833,683",100%
289,Ash Is Purest White,"$11,813,509","$422,814",3.6%,"$11,390,695",96.4%
290,There's No Place Like Home,"$11,740,817",-,-,"$11,740,817",100%
291,Mary Magdalene,"$11,585,369",-,-,"$11,585,369",100%
292,Kung Fu Monster,"$11,576,368",-,-,"$11,576,368",100%
293,Yolki poslednie,"$11,498,365",-,-,"$11,498,365",100%
294,50 First Kisses,"$11,465,365",-,-,"$11,465,365",100%
295,Door Lock,"$11,376,878",-,-,"$11,376,878",100%
296,King of Thieves,"$11,353,515","$7,518",<0.1%,"$11,345,997",99.9%
297,At Eternity's Gate,"$11,235,662","$2,294,915",20.4%,"$8,940,747",79.6%
298,The Adventure of Afanti,"$11,113,411",-,-,"$11,113,411",100%
299,La boda de Valentina,"$11,021,794","$2,783,739",25.3%,"$8,238,055",74.7%
300,Gringo,"$11,001,627","$4,969,853",45.2%,"$6,031,774",54.8%
301,I Am Losing Weight,"$10,999,346",-,-,"$10,999,346",100%
302,The Leakers,"$10,982,231",-,-,"$10,982,231",100%
303,Animal Crackers,"$10,979,164",-,-,"$10,979,164",100%
304,25 km/h,"$10,965,122",-,-,"$10,965,122",100%
305,Happy Little Submarine: 20000 Leagues under the Sea,"$10,949,902",-,-,"$10,949,902",100%
306,Laplace's Witch,"$10,919,843",-,-,"$10,919,843",100%
307,Maya the Bee: The Honey Games,"$10,824,302",-,-,"$10,824,302",100%
308,Golden Slumber,"$10,733,326","$94,450",0.9%,"$10,638,876",99.1%
309,Red Joan,"$10,647,493","$1,579,730",14.8%,"$9,067,763",85.2%
310,Blessed Madness,"$10,588,217",-,-,"$10,588,217",100%
311,Every Day,"$10,421,847","$6,102,076",58.6%,"$4,319,771",41.4%
312,Swing Kids,"$10,397,408","$222,001",2.1%,"$10,175,407",97.9%
313,Lobster Cop,"$10,373,129","$85,693",0.8%,"$10,287,436",99.2%
314,Yo-kai Watch: Forever Friends,"$10,336,365",-,-,"$10,336,365",100%
315,Kin,"$10,313,019","$5,718,096",55.4%,"$4,594,923",44.6%
316,Girls vs Gangsters,"$10,265,819","$37,115",0.4%,"$10,228,704",99.6%
317,The Miracle Season,"$10,230,620","$10,230,620",100%,-,-
318,Klassentreffen 1.0,"$10,166,333",-,-,"$10,166,333",100%
319,Café Funiculi Funicula,"$10,164,971",-,-,"$10,164,971",100%
320,Ben Is Back,"$10,134,204","$3,703,184",36.5%,"$6,431,020",63.5%
321,"Tonight, at the Movies","$10,122,115",-,-,"$10,122,115",100%
322,The Vanished,"$10,083,104",-,-,"$10,083,104",100%
323,A Better Tomorrow 2018,"$10,067,151",-,-,"$10,067,151",100%
324,The Snow Queen: Mirrorlands,"$10,063,871",-,-,"$10,063,871",100%
325,Papillon,"$10,060,903","$2,335,896",23.2%,"$7,725,007",76.8%
326,Every Day a Good Day,"$9,956,464",-,-,"$9,956,464",100%
327,Little Forest,"$9,942,250",-,-,"$9,942,250",100%
328,The Princess and the Matchmaker,"$9,899,017","$78,900",0.8%,"$9,820,117",99.2%
329,Parmanu: The Story of Pokhran,"$9,862,726",-,-,"$9,862,726",100%
330,The Beachnickers,"$9,786,399",-,-,"$9,786,399",100%
331,Traffik,"$9,515,914","$9,186,156",96.5%,"$329,758",3.5%
332,Amici come prima,"$9,367,230",-,-,"$9,367,230",100%
333,Ladies in Black,"$9,356,495",-,-,"$9,356,495",100%
334,Tri bogatyrya i Naslednitsa prestola,"$9,343,827",-,-,"$9,343,827",100%
335,Replicas,"$9,330,075","$4,046,429",43.4%,"$5,283,646",56.6%
336,Mid90s,"$9,303,022","$7,362,439",79.1%,"$1,940,583",20.9%
337,Pretty Cure Super Stars,"$9,229,789",-,-,"$9,229,789",100%
338,Ailecek Saskiniz,"$9,216,552",-,-,"$9,216,552",100%
339,Planeta Singli 2,"$9,167,737",-,-,"$9,167,737",100%
340,The Best Summer of My Life,"$9,126,625",-,-,"$9,126,625",100%
341,What a Man Wants,"$9,080,272",-,-,"$9,080,272",100%
342,Champion,"$8,974,547","$97,472",1.1%,"$8,877,075",98.9%
343,Neuilly Yo Mama II,"$8,970,297",-,-,"$8,970,297",100%
344,How About Adolf?,"$8,947,326",-,-,"$8,947,326",100%
345,The Legend of the Christmas Witch,"$8,843,257",-,-,"$8,843,257",100%
