Rank,Release Group,Worldwide,Domestic,%,Foreign,%
125,47 Meters Down: Uncaged,"$47,582,563","$22,260,900",46.8%,"$25,321,663",53.2%
126,Chasing the Dragon II: Wild Wild Bunch,"$45,733,356","$196,634",0.4%,"$45,536,722",99.6%
127,Child's Play,"$44,907,074","$29,208,403",65%,"$15,698,671",35%
128,Judy,"$44,528,735","$24,313,888",54.6%,"$20,214,847",45.4%
129,Son of a Rich,"$43,833,888",-,-,"$43,833,888",100%
130,Richard Jewell,"$43,745,542","$22,345,542",51.1%,"$21,400,000",48.9%
131,Harriet,"$43,347,017","$43,082,155",99.4%,"$264,862",0.6%
132,A Shaun the Sheep Movie: Farmageddon,"$43,100,248",-,-,"$43,100,248",100%
133,Fighting with My Family,"$40,811,919","$22,958,886",56.3%,"$17,853,033",43.7%
134,Masquerade Hotel,"$40,396,244",-,-,"$40,396,244",100%
135,The Last Wish,"$39,756,292",-,-,"$39,756,292",100%
136,Uri: The Surgical Strike,"$39,346,577","$4,186,168",10.6%,"$35,160,409",89.4%
137,Overcomer,"$38,026,103","$34,746,945",91.4%,"$3,279,158",8.6%
138,Pain and Glory,"$37,359,689","$4,567,338",12.2%,"$32,792,351",87.8%
139,A Witness Out of the Blue,"$37,092,694",-,-,"$37,092,694",100%
140,The Intruder,"$36,599,361","$35,419,122",96.8%,"$1,180,239",3.2%
141,The Queen's Corgi,"$35,515,687",-,-,"$35,515,687",100%
142,Warrior of the Hornor,"$34,291,831",-,-,"$34,291,831",100%
143,The Battle: Roar to Victory,"$34,148,707",-,-,"$34,148,707",100%
144,The Bad Guys: The Movie,"$34,024,386","$166,972",0.5%,"$33,857,414",99.5%
145,The Good Liar,"$33,856,058","$17,156,058",50.7%,"$16,700,000",49.3%
146,The Art of Racing in the Rain,"$33,766,787","$26,395,642",78.2%,"$7,371,145",21.8%
147,Bharat,"$33,185,983","$2,971,549",9%,"$30,214,434",91%
148,Brightburn,"$32,893,421","$17,300,439",52.6%,"$15,592,982",47.4%
149,Fly Me to the Saitama,"$32,802,347",-,-,"$32,802,347",100%
150,UglyDolls,"$32,450,241","$20,150,241",62.1%,"$12,300,000",37.9%
151,Stuber,"$32,390,945","$22,370,452",69.1%,"$10,020,493",30.9%
152,Hit Me Anyone One More Time!,"$32,333,512",-,-,"$32,333,512",100%
153,Somewhere Winter,"$32,218,990",-,-,"$32,218,990",100%
154,The Kid Who Would Be King,"$32,140,970","$16,790,790",52.2%,"$15,350,180",47.8%
155,Two Tigers,"$32,001,580",-,-,"$32,001,580",100%
156,Anna,"$31,626,978","$7,743,794",24.5%,"$23,883,184",75.5%
157,My Dear Liar,"$31,177,968","$90,545",0.3%,"$31,087,423",99.7%
158,The Wild Goose Lake,"$31,042,413","$12,573",<0.1%,"$31,029,840",100%
159,My Hero Academia: Heroes Rising,"$29,876,826","$13,304,000",44.5%,"$16,572,826",55.5%
160,Fall In Love At First Kiss,"$29,206,238",-,-,"$29,206,238",100%
161,Gully Boy,"$28,141,995","$5,566,534",19.8%,"$22,575,461",80.2%
162,Kim Ji-young: Born 1982,"$27,696,393",-,-,"$27,696,393",100%
163,Pokémon: Mewtwo Strikes Back - Evolution,"$27,347,118",-,-,"$27,347,118",100%
164,Almost a Comedy,"$26,990,962",-,-,"$26,990,962",100%
165,Total Dhamaal,"$26,911,995","$2,167,632",8.1%,"$24,744,363",91.9%
166,Missing Link,"$26,565,710","$16,649,539",62.7%,"$9,916,171",37.3%
167,No Manches Frida 2,"$26,493,648","$9,270,920",35%,"$17,222,728",65%
168,The Confidence Man JP,"$26,228,317",-,-,"$26,228,317",100%
169,The Confidence Man JP: The Movie,"$25,958,189",-,-,"$25,958,189",100%
170,"The Gangster, the Cop, the Devil","$25,775,371","$216,494",0.8%,"$25,558,877",99.2%
171,Bodies at Rest,"$25,293,853",-,-,"$25,293,853",100%
172,Booksmart,"$24,959,607","$22,680,962",90.9%,"$2,278,645",9.1%
173,Super 30,"$24,701,637","$2,269,878",9.2%,"$22,431,759",90.8%
174,Skyfire,"$24,375,211","$1,105",<0.1%,"$24,374,106",100%
175,Start-Up,"$24,106,579",-,-,"$24,106,579",100%
176,The Peanut Butter Falcon,"$23,743,627","$20,457,151",86.2%,"$3,286,476",13.8%
177,Nous finirons ensemble,"$23,613,535",-,-,"$23,613,535",100%
178,Ossan's Love: Love or Dead,"$23,422,744",-,-,"$23,422,744",100%
179,Only Cloud Knows,"$23,410,836",-,-,"$23,410,836",100%
180,Pinocchio,"$23,172,181","$1,831,718",7.9%,"$21,340,463",92.1%
181,Dark Waters,"$23,108,017","$11,136,084",48.2%,"$11,971,933",51.8%
182,The Farewell,"$23,076,657","$17,695,781",76.7%,"$5,380,876",23.3%
183,The Knight of Shadows: Between Yin and Yang,"$22,774,256",-,-,"$22,774,256",100%
184,Black and Blue,"$22,741,061","$22,055,313",97%,"$685,748",3%
185,Late Night,"$22,386,555","$15,499,454",69.2%,"$6,887,101",30.8%
186,A Rainy Day in New York,"$22,002,504",-,-,"$22,002,504",100%
187,Crazy Romance,"$21,386,368",-,-,"$21,386,368",100%
188,Shaft,"$21,360,215","$21,360,215",100%,-,-
189,Unplanned,"$21,349,929","$19,005,109",89%,"$2,344,820",11%
190,Hotel Mumbai,"$21,314,816","$9,651,611",45.3%,"$11,663,205",54.7%
191,Integrity,"$21,290,004",-,-,"$21,290,004",100%
192,The Secret Mission,"$21,083,522",-,-,"$21,083,522",100%
193,This Is Tomas,"$20,084,169",-,-,"$20,084,169",100%
194,The Specials,"$19,363,826",-,-,"$19,363,826",100%
195,Always Miss You,"$19,015,465","$91,884",0.5%,"$18,923,581",99.5%
196,An Officer and a Spy,"$18,878,658",-,-,"$18,878,658",100%
197,Crayon Shin-chan: Honeymoon Hurricane - The Lost Hiroshi,"$18,738,951",-,-,"$18,738,951",100%
198,Greta,"$18,653,107","$10,532,219",56.5%,"$8,120,888",43.5%
199,Peppa Celebrates Chinese New Year,"$18,653,040","$131,225",0.7%,"$18,521,815",99.3%
200,Black Christmas,"$18,529,730","$10,429,730",56.3%,"$8,100,000",43.7%
201,Kaguya-sama: Love Is War,"$18,516,460",-,-,"$18,516,460",100%
202,Motherless Brooklyn,"$18,477,736","$9,277,736",50.2%,"$9,200,000",49.8%
203,The Lighthouse,"$18,123,239","$10,867,104",60%,"$7,256,135",40%
204,Blinded by the Light,"$18,096,691","$11,901,145",65.8%,"$6,195,546",34.2%
205,Kalank,"$17,987,034","$2,729,336",15.2%,"$15,257,698",84.8%
206,Black Money,"$17,887,384",-,-,"$17,887,384",100%
207,Svaha: The Sixth Finger,"$17,607,783",-,-,"$17,607,783",100%
208,Fate/stay night [Heaven's Feel] II. lost butterfly,"$17,296,294","$420,595",2.4%,"$16,875,699",97.6%
209,Innocent Witness,"$17,245,147",-,-,"$17,245,147",100%
210,Miracle in Cell No. 7,"$17,163,660",-,-,"$17,163,660",100%
211,Recep Ivedik 6,"$17,018,156",-,-,"$17,018,156",100%
212,Once Upon a Time in Bethlehem,"$16,940,610",-,-,"$16,940,610",100%
213,Shanghai Fortress,"$16,923,671",-,-,"$16,923,671",100%
214,Invasion,"$16,653,687",-,-,"$16,653,687",100%
215,Nothing to Lose 2,"$16,610,713","$1,150,551",6.9%,"$15,460,162",93.1%
216,Tazza: One-Eyed Jack,"$16,572,611","$97,655",0.6%,"$16,474,956",99.4%
217,The Great War of Archimedes,"$16,454,674",-,-,"$16,454,674",100%
218,Poms,"$16,418,218","$13,631,124",83%,"$2,787,094",17%
219,Little Q,"$16,360,233","$1,652",<0.1%,"$16,358,581",100%
220,Playmobil: The Movie,"$16,349,303","$1,115,008",6.8%,"$15,234,295",93.2%
221,Father There Is Only One,"$16,093,063",-,-,"$16,093,063",100%
222,Whistleblower,"$16,083,213",-,-,"$16,083,213",100%
223,Mom 2019 Re-release,"$16,082,564",-,-,"$16,082,564",100%
224,The Kitchen,"$15,980,032","$12,180,032",76.2%,"$3,800,000",23.8%
225,The Divine Move 2: The Wrathful,"$15,642,991","$67,578",0.4%,"$15,575,413",99.6%
226,In the Name of the Land,"$15,531,521",-,-,"$15,531,521",100%
227,Miss Bala,"$15,383,580","$15,006,824",97.6%,"$376,756",2.4%
228,Apollo 11,"$15,342,353","$9,039,891",58.9%,"$6,302,462",41.1%
229,The Dead Don't Die,"$15,322,395","$6,563,605",42.8%,"$8,758,790",57.2%
230,"Paw Patrol: Ready, Race, Rescue!","$15,193,000",-,-,"$15,193,000",100%
231,The Fable,"$15,183,043",-,-,"$15,183,043",100%
232,Dabangg 3,"$14,784,628","$202,000",1.4%,"$14,582,628",98.6%
233,City Hunter,"$14,702,744",-,-,"$14,702,744",100%
234,The Dude in Me,"$14,569,310",-,-,"$14,569,310",100%
235,Serenity,"$14,454,622","$8,547,045",59.1%,"$5,907,577",40.9%
236,La Belle Époque,"$14,334,104",-,-,"$14,334,104",100%
237,If I Were Rich Man,"$14,195,149",-,-,"$14,195,149",100%
238,School Life,"$14,178,873",-,-,"$14,178,873",100%
239,Coward Hero,"$14,059,651",-,-,"$14,059,651",100%
240,Forbidden Dream,"$13,902,314",-,-,"$13,902,314",100%
241,Trouble,"$13,864,163",-,-,"$13,864,163",100%
242,Politseyskiy s Rublyovki. Novogodniy bespredel 2,"$13,843,719",-,-,"$13,843,719",100%
243,Guilt by Design,"$13,626,391",-,-,"$13,626,391",100%
244,Hit-and-Run Squad,"$13,489,165",-,-,"$13,489,165",100%
245,Three Seconds 2019 Re-release,"$13,287,714",-,-,"$13,287,714",100%
246,Miszmasz czyli Kogel Mogel 3,"$13,168,337",-,-,"$13,168,337",100%
247,While at War,"$13,144,370",-,-,"$13,144,370",100%
248,Good Newwz,"$13,058,135",-,-,"$13,058,135",100%
249,Byeonshin,"$12,902,597",-,-,"$12,902,597",100%
250,I Can Quit Whenever I Want,"$12,804,194",-,-,"$12,804,194",100%
251,Le chant du loup,"$12,652,790",-,-,"$12,652,790",100%
252,Spread Your Wings,"$12,335,509",-,-,"$12,335,509",100%
253,The Current War: Director's Cut,"$12,217,160","$5,979,540",48.9%,"$6,237,620",51.1%
254,Miss & Mrs. Cops,"$12,147,170","$104,578",0.9%,"$12,042,592",99.1%
255,City Hunter: Shinjuku Private Eyes,"$11,962,753",-,-,"$11,962,753",100%
256,12 Suicidal Teens,"$11,950,916",-,-,"$11,950,916",100%
257,Mirreyes contra Godinez,"$11,940,579",-,-,"$11,940,579",100%
258,The King's Avatar: For the Glory,"$11,933,801",-,-,"$11,933,801",100%
259,The Divine Fury,"$11,799,556","$102,982",0.9%,"$11,696,574",99.1%
260,Bring the Soul: The Movie,"$11,641,119","$4,809,800",41.3%,"$6,831,319",58.7%
261,"Uta no Prince Sama Maji Love Kingdom, The Movie","$11,597,863",-,-,"$11,597,863",100%
262,Fisherman's Friends,"$11,576,847",-,-,"$11,576,847",100%
263,Union of Salvation,"$11,401,318",-,-,"$11,401,318",100%
264,Gloria Bell,"$11,145,006","$5,611,123",50.3%,"$5,533,883",49.7%
265,Dragon Quest: Your Story,"$11,114,288",-,-,"$11,114,288",100%
266,"Where'd You Go, Bernadette","$11,025,353","$9,198,356",83.4%,"$1,826,997",16.6%
267,Invisibles,"$10,993,752",-,-,"$10,993,752",100%
268,Violet Evergarden: Eternity and the Auto Memories Doll,"$10,841,702",-,-,"$10,841,702",100%
269,Inseparable Bros,"$10,682,665",-,-,"$10,682,665",100%
270,Polityka,"$10,602,835",-,-,"$10,602,835",100%
271,No Longer Human,"$10,452,114",-,-,"$10,452,114",100%
272,Casino Royale 2019 Re-release,"$10,402,035",-,-,"$10,402,035",100%
273,Money Trap,"$10,327,763",-,-,"$10,327,763",100%
274,The Best of Enemies,"$10,209,813","$10,205,616",100%,"$4,197",<0.1%
275,BTS World Tour: Love Yourself in Seoul,"$10,195,760","$3,509,917",34.4%,"$6,685,843",65.6%
276,Gone with the Light,"$10,102,949",-,-,"$10,102,949",100%
277,Leberkäsjunkie,"$10,057,790",-,-,"$10,057,790",100%
278,Portrait of a Lady on Fire,"$10,043,341","$3,759,854",37.4%,"$6,283,487",62.6%
279,The Goldfinch,"$9,932,621","$5,332,621",53.7%,"$4,600,000",46.3%
280,Red Shoes and the Seven Dwarfs,"$9,932,398",-,-,"$9,932,398",100%
281,Friend Zone,"$9,894,885",-,-,"$9,894,885",100%
282,Arctic Dogs,"$9,879,871","$5,801,249",58.7%,"$4,078,622",41.3%
283,Joyeuse retraite!,"$9,848,156",-,-,"$9,848,156",100%
284,Kiss Me at the Stroke of Midnight,"$9,823,872",-,-,"$9,823,872",100%
285,"Extremely Wicked, Shockingly Evil and Vile","$9,816,572",-,-,"$9,816,572",100%
286,A Minuscule Adventure,"$9,812,387",-,-,"$9,812,387",100%
287,Sumikko Gurashi the Movie: The Unexpected Picture Book and the Secret Child,"$9,794,013",-,-,"$9,794,013",100%
288,The Goddess of Fortune,"$9,780,218",-,-,"$9,780,218",100%
289,Fortuna's Eye,"$9,718,481",-,-,"$9,718,481",100%
290,The Mystery of Henri Pick,"$9,712,385",-,-,"$9,712,385",100%
291,Diner,"$9,673,094",-,-,"$9,673,094",100%
292,Tod@s Caen,"$9,667,157","$2,670,925",27.6%,"$6,996,232",72.4%
293,The Shadow Play,"$9,626,679",-,-,"$9,626,679",100%
294,Women on the Run,"$9,582,448",-,-,"$9,582,448",100%
295,Corpus Christi,"$9,540,886","$127,240",1.3%,"$9,413,646",98.7%
296,Ride Like a Girl,"$9,498,635",-,-,"$9,498,635",100%
297,What's with This Granny!?,"$9,488,949",-,-,"$9,488,949",100%
298,Official Secrets,"$9,473,603","$1,988,546",21%,"$7,485,057",79%
299,Promare,"$9,467,336","$2,313,596",24.4%,"$7,153,740",75.6%
300,"Tora-san, Wish You Were Here","$9,459,306",-,-,"$9,459,306",100%
301,The Human Comedy,"$9,345,649",-,-,"$9,345,649",100%
302,Jexi,"$9,341,824","$6,546,159",70.1%,"$2,795,665",29.9%
303,The Aftermath,"$9,215,591","$1,618,497",17.6%,"$7,597,094",82.4%
304,Tolkien,"$9,090,040","$4,535,154",49.9%,"$4,554,886",50.1%
305,"Begin, Again","$9,085,921",-,-,"$9,085,921",100%
306,The Legend of Pig Warrior,"$9,023,944",-,-,"$9,023,944",100%
307,Man of Men,"$8,936,453",-,-,"$8,936,453",100%
308,Murder at Shijinso,"$8,934,857",-,-,"$8,934,857",100%
309,Gromkaya svyaz,"$8,864,882",-,-,"$8,864,882",100%
310,The Traitor,"$8,852,013","$296,027",3.3%,"$8,555,986",96.7%
311,Captive State,"$8,808,611","$5,958,315",67.6%,"$2,850,296",32.4%
312,Sorry We Missed You,"$8,773,135","$28,273",0.3%,"$8,744,862",99.7%
313,The 47 Ronin in Debt,"$8,760,116",-,-,"$8,760,116",100%
314,Code Geass: Lelouch of the Re;Surrection 2019 Re-release,"$8,715,612","$522,805",6%,"$8,192,807",94%
315,"Cheer Up, Mr. Lee","$8,700,048",-,-,"$8,700,048",100%
316,Iron Mask,"$8,685,794",-,-,"$8,685,794",100%
317,Mardaani 2,"$8,680,109",-,-,"$8,680,109",100%
318,Aircraft Carrier Ibuki,"$8,611,013",-,-,"$8,611,013",100%
319,When Hitler Stole Pink Rabbit,"$8,529,779",-,-,"$8,529,779",100%
320,You Shine in the Moonlight,"$8,514,011",-,-,"$8,514,011",100%
321,Tune in for Love,"$8,494,414",-,-,"$8,494,414",100%
322,Te jing dui,"$8,332,573",-,-,"$8,332,573",100%
323,When Mom Is Away,"$8,299,778",-,-,"$8,299,778",100%
324,Birthday,"$8,291,726",-,-,"$8,291,726",100%
325,A Resistance,"$8,137,893",-,-,"$8,137,893",100%
326,Inseparables 2019 Re-release,"$8,099,228",-,-,"$8,099,228",100%
327,"So Long, My Son","$8,096,596",-,-,"$8,096,596",100%
328,Tanguy Is Back,"$8,033,866",-,-,"$8,033,866",100%
329,Planeta Singli 3,"$7,935,472",-,-,"$7,935,472",100%
330,Pavarotti,"$7,885,016","$4,600,249",58.3%,"$3,284,767",41.7%
331,The Battle of Jangsari,"$7,883,200","$70,853",0.9%,"$7,812,347",99.1%
332,Touken Ranbu: The Movie,"$7,858,150",-,-,"$7,858,150",100%
333,Long Live the King,"$7,801,577",-,-,"$7,801,577",100%
334,By the Grace of God,"$7,755,652","$67,059",0.9%,"$7,688,593",99.1%
335,Love Live! Sunshine!! The School Idol Movie: Over The Rainbow,"$7,733,048","$34,135",0.4%,"$7,698,913",99.6%
336,Snow Flower,"$7,709,399",-,-,"$7,709,399",100%
337,Penguins,"$7,699,452","$7,699,452",100%,-,-
338,The White Crow,"$7,622,595","$1,828,784",24%,"$5,793,811",76%
339,Rafadan Tayfa 2: Göbeklitepe,"$7,616,298",-,-,"$7,616,298",100%
340,Matinee,"$7,576,145",-,-,"$7,576,145",100%
341,The Best Is Yet to Come,"$7,571,799",-,-,"$7,571,799",100%
342,Monica and Friends: Bonds,"$7,554,706",-,-,"$7,554,706",100%
343,Kamen Rider Reiwa: The First Generation,"$7,529,337",-,-,"$7,529,337",100%
344,The Whistleblower,"$7,505,141","$280,851",3.7%,"$7,224,290",96.3%
345,Mortal Ouija,"$7,489,619",-,-,"$7,489,619",100%
346,Way to Find the Best Life,"$7,466,578",-,-,"$7,466,578",100%
347,Brittany Runs a Marathon,"$7,442,106","$7,189,808",96.6%,"$252,298",3.4%
